first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Mesut,Özil,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,68
Sokratis,Papastathopoulos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
David,Luiz Moreira Marinho,0,0,2,91,3,3.2,20.2,0.0,0,14,2.3,0,0,0,1.0,55
Pierre-Emerick,Aubameyang,1,1,14,270,4,52.6,68.8,73.0,0,44,19.4,1,0,1,28.8,119
Cédric,Soares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,48
Alexandre,Lacazette,3,0,21,235,3,29.8,112.0,134.0,3,80,27.6,1,0,0,5.4,85
Shkodran,Mustafi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Bernd,Leno,0,0,12,270,4,0.0,67.8,0.0,2,69,6.8,1,0,0,9.2,50
Granit,Xhaka,0,0,6,226,3,27.3,30.0,21.0,0,29,7.8,1,0,0,0.8,55
Pablo,Marí,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Héctor,Bellerín,0,0,7,270,4,34.8,33.0,8.0,0,45,7.6,1,0,2,4.7,50
Calum,Chambers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Sead,Kolasinac,0,0,2,90,1,5.4,3.6,4.0,0,9,1.3,0,0,0,0.2,49
Ainsley,Maitland-Niles,0,0,7,180,3,4.3,16.2,7.0,0,31,2.8,1,0,0,1.7,50
Rob,Holding,0,0,9,270,4,1.6,66.2,0.0,0,58,6.8,1,0,0,2.6,45
Kieran,Tierney,0,0,7,180,3,3.2,41.0,2.0,0,41,4.6,1,0,0,7.2,54
Nicolas,Pépé,0,0,3,63,1,18.9,3.0,14.0,0,8,3.5,0,0,0,1.0,78
Lucas,Torreira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,48
Joseph,Willock,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Reiss,Nelson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,53
Edward,Nketiah,1,0,10,33,1,0.2,34.0,23.0,3,35,5.6,0,0,0,1.1,59
Emile,Smith Rowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45
Bukayo,Saka,0,0,2,88,1,20.3,7.4,30.0,0,8,5.8,0,0,0,3.8,53
Matteo,Guendouzi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Gabriel Teodoro,Martinelli Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
William,Saliba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.5,43
Willian,Borges Da Silva,0,3,18,204,3,72.6,45.8,42.0,2,52,16.1,1,0,0,12.7,80
Gabriel,Magalhães,1,0,17,180,1,1.0,84.4,35.0,3,52,12.0,1,0,0,13.1,51
Daniel,Ceballos Fernández,0,1,9,132,2,41.5,61.4,24.0,3,43,12.7,0,0,1,2.3,50
Mohamed Naser,El Sayed Elneny,0,0,5,180,3,4.4,18.6,20.0,0,32,4.3,1,0,0,1.6,45
Matt,Macey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,40
Rúnar Alex,Rúnarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Emiliano,Martínez,0,0,19,180,0,0.0,51.2,0.0,2,64,5.1,2,0,0,13.2,46
Tom,Heaton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Ahmed,El Mohamady,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,45
Henri,Lansbury,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45
Neil,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45
Jed,Steer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,5.5,40
Conor,Hourihane,1,1,17,137,0,77.7,62.2,23.0,3,57,16.3,2,0,0,0.2,60
José Ignacio,Peleteiro Romallo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,59
Ørjan,Nyland,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,14.4,40
Bjorn,Engels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Jack,Grealish,1,0,11,180,0,65.6,52.4,110.0,0,39,22.8,2,0,0,9.6,70
John,McGinn,0,2,12,180,0,91.8,49.8,50.0,2,41,19.1,2,0,2,0.6,55
Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Mahmoud Ahmed,Ibrahim Hassan,0,0,6,173,0,39.1,19.2,45.0,0,25,10.3,2,0,0,1.2,55
Tyrone,Mings,1,1,22,180,0,12.9,93.2,40.0,2,66,14.7,2,0,1,3.2,50
Matt,Targett,0,0,10,180,0,13.0,9.4,2.0,0,42,2.5,2,0,2,0.9,45
James,Bree,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Marvelous,Nakamba,0,0,1,3,0,0.3,7.2,0.0,0,5,0.8,0,0,0,0.5,45
Anwar,El Ghazi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,59
Ezri,Konsa Ngoyo,1,0,21,180,0,0.3,70.8,33.0,3,69,10.4,2,0,0,3.5,45
Frédéric,Guilbert,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Wesley,Moraes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60
Mbwana,Samatta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,59
Keinan,Davis,0,0,1,28,0,12.9,4.4,6.0,0,3,2.3,0,0,0,13.7,45
Indiana,Vassilev,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.2,45
Douglas Luiz,Soares de Paulo,0,0,6,176,0,20.1,16.4,26.0,0,18,6.3,2,0,0,0.4,50
Ross,Barkley,0,0,2,40,0,11.8,5.4,7.0,0,5,2.4,0,0,0,0.3,59
Matthew,Cash,0,0,11,180,0,48.7,55.2,18.0,0,55,12.2,2,0,1,0.5,50
Ollie,Watkins,0,0,4,180,0,35.4,1.8,49.0,0,3,8.5,2,0,0,1.4,60
Bertrand,Traoré,0,0,1,6,0,0.3,1.4,2.0,0,5,0.4,0,0,0,0.0,60
Jacob,Ramsey,0,0,1,13,0,0.0,0.0,0.0,0,4,0.0,0,0,0,0.0,45
Glenn,Murray,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,49
Adam,Lallana,0,0,4,129,3,31.2,14.6,2.0,0,16,4.8,0,0,0,0.6,64
Pascal,Groß,0,0,2,27,1,16.5,6.6,10.0,0,9,3.3,0,0,0,0.1,59
Shane,Duffy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Davy,Pröpper,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Aaron,Mooy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Dan,Burn,0,0,1,32,0,1.8,2.8,0.0,0,4,0.5,0,0,0,0.6,44
Lewis,Dunk,0,0,6,270,6,2.8,39.8,9.0,1,47,5.2,1,0,1,6.8,50
Martín,Montoya,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Florin,Andone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Solomon,March,1,0,13,257,6,50.0,71.8,86.0,1,56,20.8,1,0,0,0.5,50
Adam,Webster,0,0,8,270,6,13.6,37.2,18.0,0,47,6.9,1,0,0,2.4,45
Joël,Veltman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44
Neal,Maupay,3,1,26,270,6,54.3,128.6,130.0,5,100,31.1,1,0,0,3.7,65
Leandro,Trossard,1,1,15,270,6,89.5,68.8,47.0,1,44,20.5,1,0,1,1.7,60
Mathew,Ryan,0,0,8,270,6,0.0,24.2,0.0,0,44,2.4,1,0,0,17.5,45
Alireza,Jahanbakhsh,0,1,5,28,1,41.5,30.6,28.0,0,27,10.0,0,0,1,0.1,55
José,Izquierdo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55
Matthew,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Ben,White,0,0,7,258,6,21.6,49.6,2.0,0,51,7.4,1,0,1,1.6,45
Bernardo,Fernandes da Silva Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,10.4,40
Yves,Bissouma,0,0,2,178,3,7.7,8.4,7.0,0,16,2.0,1,1,0,3.4,45
Tariq,Lamptey,0,3,11,237,6,30.7,48.6,43.0,0,55,12.3,0,0,1,9.2,46
Aaron,Connolly,1,0,11,207,4,23.7,36.0,63.0,2,26,12.2,1,0,0,0.8,55
Steven,Alzate,0,0,7,258,6,72.5,36.0,23.0,0,50,13.2,1,0,0,1.3,45
Alexis,Mac Allister,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54
Christian,Walton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,40
Jason,Steele,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40
Jayson,Molumby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Dale,Stephens,0,0,2,90,1,4.1,13.8,13.0,0,9,3.1,0,0,0,9.3,44
James,Tarkowski,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.2,54
Phil,Bardsley,0,0,0,180,5,11.1,25.4,6.0,0,14,4.3,0,0,2,0.5,45
Erik,Pieters,0,0,-2,50,3,0.7,0.0,17.0,0,-3,1.7,0,0,0,0.9,45
Jack,Cork,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Kevin,Long,0,0,2,180,5,10.7,47.4,10.0,0,23,6.8,0,0,0,0.2,45
Jay,Rodriguez,0,0,1,69,3,11.2,3.6,13.0,0,2,2.8,0,0,1,0.4,59
Ashley,Barnes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,60
Ben,Mee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,50
Ashley,Westwood,0,0,4,180,5,50.2,17.4,0.0,0,24,6.8,0,0,0,0.7,55
Johann Berg,Gudmundsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54
Chris,Wood,1,0,8,180,5,4.2,38.4,69.0,0,26,11.1,0,0,0,2.1,65
Matthew,Lowton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Matej,Vydra,0,0,3,110,2,27.1,8.4,63.0,0,10,9.9,0,0,0,0.9,50
Ben,Gibson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40
Robbie,Brady,0,0,1,39,1,0.3,7.2,17.0,0,4,2.5,0,0,0,0.0,50
Nick,Pope,0,0,3,180,5,0.0,25.0,0.0,0,21,2.5,0,0,0,14.1,55
Charlie,Taylor,0,1,5,180,5,32.3,38.4,9.0,0,34,8.0,0,0,0,4.6,45
Josh,Brownhill,0,0,4,180,5,33.2,18.6,45.0,0,19,9.7,0,0,0,0.0,50
Bailey,Peacock-Farrell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.5,40
Dwight,McNeil,0,1,7,180,5,40.2,36.4,4.0,0,31,8.1,0,0,0,0.7,60
Jimmy,Dunne,1,0,8,180,5,21.2,66.2,38.0,0,35,12.6,0,0,0,7.2,40
Bobby,Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40
Josh,Benson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Anthony,Driscoll-Glennon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Mace,Goodridge,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Willy,Caballero,0,0,1,90,3,0.0,4.2,0.0,0,7,0.4,0,0,0,0.3,49
César,Azpilicueta,0,1,5,50,0,14.2,29.8,13.0,0,21,5.7,0,0,0,4.6,59
Olivier,Giroud,0,0,1,17,0,1.8,0.0,6.0,0,3,0.8,0,0,0,0.8,69
Marcos,Alonso,0,0,2,225,6,28.1,37.0,20.0,0,36,8.5,0,0,1,2.9,60
Jorge Luiz,Frello Filho,1,1,12,162,3,24.8,75.2,36.0,2,43,13.6,0,0,0,6.1,51
Mateo,Kovacic,0,0,3,123,5,10.6,8.4,1.0,0,21,2.0,0,0,0,0.4,55
Antonio,Rüdiger,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,48
Kurt,Zouma,1,0,9,180,3,0.4,70.2,34.0,0,41,10.5,0,0,0,1.9,50
Emerson,Palmieri dos Santos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,49
Kepa,Arrizabalaga,0,0,4,180,3,0.0,28.6,0.0,0,28,2.8,0,0,0,1.6,49
N'Golo,Kanté,0,0,6,270,6,12.8,51.2,10.0,0,51,7.4,0,0,0,4.3,50
Hakim,Ziyech,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,79
Ruben,Loftus-Cheek,0,0,2,60,1,1.3,0.0,0.0,0,2,0.0,0,0,0,0.2,59
Andreas,Christensen,0,0,-1,225,6,3.8,49.6,2.0,0,26,5.6,0,1,1,0.3,49
